FILE NAME,REQUIRED BINS,EXTRA BINS,TIME TAKEN(ms)
N1C1W1_A.BPP,25,0,0.0
N1C1W1_B.BPP,31,0,0.0
N1C1W1_C.BPP,21,1,0.9975433349609375
N1C1W1_D.BPP,28,0,0.0
N1C1W1_E.BPP,26,0,0.0
N1C1W1_F.BPP,27,0,0.0
N1C1W1_G.BPP,25,0,0.9937286376953125
N1C1W1_H.BPP,31,0,0.0
N1C1W1_I.BPP,25,0,0.0
N1C1W1_J.BPP,26,0,0.9975433349609375
N1C1W1_K.BPP,26,0,0.0
N1C1W1_L.BPP,33,0,0.0
N1C1W1_M.BPP,30,0,0.0
N1C1W1_N.BPP,26,1,0.9856224060058594
N1C1W1_O.BPP,32,0,1.0294914245605469
N1C1W1_P.BPP,26,0,0.0
N1C1W1_Q.BPP,28,0,0.0
N1C1W1_R.BPP,25,0,0.0
N1C1W1_S.BPP,28,0,0.9863376617431641
N1C1W1_T.BPP,28,0,0.0
N1C1W2_A.BPP,29,0,0.0
N1C1W2_B.BPP,30,0,0.0
N1C1W2_C.BPP,33,0,0.9965896606445312
N1C1W2_D.BPP,31,0,0.9984970092773438
N1C1W2_E.BPP,36,0,0.9965896606445312
N1C1W2_F.BPP,30,0,2.027750015258789
N1C1W2_G.BPP,30,0,0.0
N1C1W2_H.BPP,33,0,0.9849071502685547
N1C1W2_I.BPP,35,0,1.026153564453125
N1C1W2_J.BPP,34,0,1.0254383087158203
N1C1W2_K.BPP,35,0,0.972747802734375
N1C1W2_L.BPP,31,0,0.9670257568359375
N1C1W2_M.BPP,30,0,1.0118484497070312
N1C1W2_N.BPP,33,0,0.0
N1C1W2_O.BPP,29,0,0.0
N1C1W2_P.BPP,33,0,0.0
N1C1W2_Q.BPP,36,0,0.0
N1C1W2_R.BPP,34,0,0.9984970092773438
N1C1W2_S.BPP,37,0,0.0
N1C1W2_T.BPP,38,0,0.0
N1C1W4_A.BPP,35,0,0.9884834289550781
N1C1W4_B.BPP,40,0,1.0051727294921875
N1C1W4_C.BPP,36,0,0.0
N1C1W4_D.BPP,38,0,0.0
N1C1W4_E.BPP,38,0,0.9875297546386719
N1C1W4_F.BPP,32,0,0.9970664978027344
N1C1W4_G.BPP,38,1,0.0
N1C1W4_H.BPP,40,0,0.0
N1C1W4_I.BPP,35,0,0.0
N1C1W4_J.BPP,37,0,0.0
N1C1W4_K.BPP,41,0,2.3696422576904297
N1C1W4_L.BPP,35,0,0.7998943328857422
N1C1W4_M.BPP,41,0,0.0
N1C1W4_N.BPP,39,0,1.0313987731933594
N1C1W4_O.BPP,34,0,1.9927024841308594
N1C1W4_P.BPP,38,0,0.0
N1C1W4_Q.BPP,34,0,0.0
N1C1W4_R.BPP,38,0,0.0
N1C1W4_S.BPP,36,0,0.0
N1C1W4_T.BPP,42,0,0.0
N1C2W1_A.BPP,21,0,0.0
N1C2W1_B.BPP,26,0,0.0
N1C2W1_C.BPP,23,0,0.0
N1C2W1_D.BPP,21,0,0.9970664978027344
N1C2W1_E.BPP,17,0,0.9982585906982422
N1C2W1_F.BPP,22,0,1.0247230529785156
N1C2W1_G.BPP,21,0,0.9708404541015625
N1C2W1_H.BPP,23,0,0.0
N1C2W1_I.BPP,27,0,0.0
N1C2W1_J.BPP,27,0,0.0
N1C2W1_K.BPP,24,0,0.0
N1C2W1_L.BPP,25,0,0.9999275207519531
N1C2W1_M.BPP,26,0,1.0230541229248047
N1C2W1_N.BPP,21,0,1.003265380859375
N1C2W1_O.BPP,15,0,0.9901523590087891
N1C2W1_P.BPP,21,0,0.9751319885253906
N1C2W1_Q.BPP,24,0,0.0
N1C2W1_R.BPP,23,0,0.0
N1C2W1_S.BPP,22,0,0.0
N1C2W1_T.BPP,22,0,0.0
N1C2W2_A.BPP,24,0,0.0
N1C2W2_B.BPP,27,0,0.995635986328125
N1C2W2_C.BPP,29,0,0.9992122650146484
N1C2W2_D.BPP,24,0,0.0
N1C2W2_E.BPP,33,0,0.0
N1C2W2_F.BPP,26,0,0.9853839874267578
N1C2W2_G.BPP,29,0,0.0
N1C2W2_H.BPP,24,1,0.0
N1C2W2_I.BPP,25,0,0.0
N1C2W2_J.BPP,25,0,0.9980201721191406
N1C2W2_K.BPP,29,0,0.9968280792236328
N1C2W2_L.BPP,30,0,0.9973049163818359
N1C2W2_M.BPP,30,0,0.0
N1C2W2_N.BPP,26,0,0.0
N1C2W2_O.BPP,29,0,0.0
N1C2W2_P.BPP,23,0,0.0
N1C2W2_Q.BPP,30,0,0.0
N1C2W2_R.BPP,25,0,0.0
N1C2W2_S.BPP,24,0,0.9973049163818359
N1C2W2_T.BPP,26,0,0.9977817535400391
N1C2W4_A.BPP,29,0,0.9970664978027344
N1C2W4_B.BPP,32,0,0.9975433349609375
N1C2W4_C.BPP,30,0,0.9977817535400391
N1C2W4_D.BPP,28,0,0.0
N1C2W4_E.BPP,30,0,0.0
N1C2W4_F.BPP,32,0,0.0
N1C2W4_G.BPP,30,0,0.0
N1C2W4_H.BPP,30,0,0.0
N1C2W4_I.BPP,35,0,0.0
N1C2W4_J.BPP,30,0,0.0
N1C2W4_K.BPP,32,0,0.0
N1C2W4_L.BPP,31,0,0.9973049163818359
N1C2W4_M.BPP,31,0,0.9973049163818359
N1C2W4_N.BPP,32,0,0.9970664978027344
N1C2W4_O.BPP,30,0,0.9963512420654297
N1C2W4_P.BPP,28,0,2.01416015625
N1C2W4_Q.BPP,33,0,0.9682178497314453
N1C2W4_R.BPP,35,0,0.9963512420654297
N1C2W4_S.BPP,38,0,0.9973049163818359
N1C2W4_T.BPP,29,0,0.9963512420654297
N1C3W1_A.BPP,17,1,0.9982585906982422
N1C3W1_B.BPP,16,0,0.0
N1C3W1_C.BPP,18,1,0.0
N1C3W1_D.BPP,19,0,0.0
N1C3W1_E.BPP,16,0,0.0
N1C3W1_F.BPP,20,0,0.0
N1C3W1_G.BPP,15,0,0.9853839874267578
N1C3W1_H.BPP,19,0,0.0
N1C3W1_I.BPP,17,0,0.0
N1C3W1_J.BPP,16,0,0.0
N1C3W1_K.BPP,17,0,0.9984970092773438
N1C3W1_L.BPP,17,0,0.9963512420654297
N1C3W1_M.BPP,17,0,1.0094642639160156
N1C3W1_N.BPP,21,1,0.9853839874267578
N1C3W1_O.BPP,16,0,0.9970664978027344
N1C3W1_P.BPP,19,0,0.0
N1C3W1_Q.BPP,20,0,0.0
N1C3W1_R.BPP,21,0,0.0
N1C3W1_S.BPP,16,0,0.0
N1C3W1_T.BPP,18,0,0.0
