FILE NAME,REQUIRED BINS,EXTRA BINS,TIME TAKEN(ms)
N1C1W1_A.BPP,25,0,1.7714500427246094
N1C1W1_B.BPP,31,0,0.1761913299560547
N1C1W1_C.BPP,21,1,1.2154579162597656
N1C1W1_D.BPP,28,0,0.8304119110107422
N1C1W1_E.BPP,26,0,0.9438991546630859
N1C1W1_F.BPP,27,0,1.0421276092529297
N1C1W1_G.BPP,25,0,0.0
N1C1W1_H.BPP,31,0,0.9531974792480469
N1C1W1_I.BPP,25,0,1.1627674102783203
N1C1W1_J.BPP,26,0,0.8311271667480469
N1C1W1_K.BPP,26,0,1.013040542602539
N1C1W1_L.BPP,33,0,0.11372566223144531
N1C1W1_M.BPP,30,0,1.4526844024658203
N1C1W1_N.BPP,26,1,0.4131793975830078
N1C1W1_O.BPP,32,0,1.0068416595458984
N1C1W1_P.BPP,26,0,0.9896755218505859
N1C1W1_Q.BPP,28,0,0.0
N1C1W1_R.BPP,25,0,1.1126995086669922
N1C1W1_S.BPP,28,0,0.8804798126220703
N1C1W1_T.BPP,28,0,1.1157989501953125
N1C1W2_A.BPP,29,0,1.0030269622802734
N1C1W2_B.BPP,30,0,1.0352134704589844
N1C1W2_C.BPP,33,0,1.004934310913086
N1C1W2_D.BPP,31,0,0.0
N1C1W2_E.BPP,36,0,1.0499954223632812
N1C1W2_F.BPP,30,0,1.0194778442382812
N1C1W2_G.BPP,30,0,1.1568069458007812
N1C1W2_H.BPP,33,0,0.7181167602539062
N1C1W2_I.BPP,35,0,0.9961128234863281
N1C1W2_J.BPP,34,0,0.9989738464355469
N1C1W2_K.BPP,35,0,8.976221084594727
N1C1W2_L.BPP,31,0,0.9973049163818359
N1C1W2_M.BPP,30,0,0.9984970092773438
N1C1W2_N.BPP,33,0,0.04315376281738281
N1C1W2_O.BPP,29,0,1.6326904296875
N1C1W2_P.BPP,33,0,0.3161430358886719
N1C1W2_Q.BPP,36,0,1.477956771850586
N1C1W2_R.BPP,34,0,1.5490055084228516
N1C1W2_S.BPP,37,0,1.0180473327636719
N1C1W2_T.BPP,38,0,0.9799003601074219
N1C1W4_A.BPP,35,0,1.0464191436767578
N1C1W4_B.BPP,40,0,1.230478286743164
N1C1W4_C.BPP,36,0,0.7219314575195312
N1C1W4_D.BPP,38,0,0.9989738464355469
N1C1W4_E.BPP,38,0,0.9510517120361328
N1C1W4_F.BPP,32,0,1.0390281677246094
N1C1W4_G.BPP,38,1,1.0006427764892578
N1C1W4_H.BPP,40,0,0.9565353393554688
N1C1W4_I.BPP,35,0,0.0
N1C1W4_J.BPP,37,0,1.0747909545898438
N1C1W4_K.BPP,41,0,1.9123554229736328
N1C1W4_L.BPP,35,0,0.10418891906738281
N1C1W4_M.BPP,41,0,0.8943080902099609
N1C1W4_N.BPP,39,0,1.0654926300048828
N1C1W4_O.BPP,34,0,0.9288787841796875
N1C1W4_P.BPP,38,0,1.0917186737060547
